trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999995000000417}",20,0,-182.64207126817965,"{0: 9, 1: 2, 2: 4, 3: 3, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9999980000006666}",20,0,-36.89341056346331,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.999995500003375}",20,0,-67.19589139719385,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9999920000106667}",25,0,-77.38385091946743,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9999875000260416}",20,0,-217.34183341335893,"{0: 7, 1: 2, 2: 6, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.999982000054}",20,0,-135.35643205264822,"{0: 11, 1: 0, 2: 5, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9999755001000415}",25,0,-153.05962159187246,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9999680001706663}",20,0,-33.72471386148329,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9999595002733742}",30,0,-100.15289246701151,"{0: 18, 1: 4, 2: 6, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9999500004166653}",35,21,-25.350514436815644,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.9999395006100392}",25,0,-146.93390944820555,"{0: 14, 1: 5, 2: 2, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9999280008639958}",30,0,-147.2692002143694,"{0: 18, 1: 3, 2: 5, 3: 3, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9999155011900349}",25,0,-112.71926192834621,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9999020016006562}",25,0,-187.25150723030714,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.9998875021093592}",20,0,-145.2022513067427,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9998720027306434}",20,0,-63.732341599689164,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9998555034800082}",20,0,-63.29131832942427,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9998380043739528}",20,0,-222.79566312832821,"{0: 9, 1: 0, 2: 7, 3: 0, 4: 4}",0
19,False,"{'a': 0.5, 'e': 0.9998195054299763}",25,10,-102.93828850488106,"{0: 6, 1: 1, 2: 7, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.9998000066665778}",20,0,-66.3368221254689,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.9997795081032559}",20,0,-224.42219191410356,"{0: 8, 1: 2, 2: 6, 3: 0, 4: 4}",0
22,False,"{'a': 0.5, 'e': 0.9997580097605092}",25,11,-42.66134609104238,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.9997355116598361}",20,0,-144.60606001925476,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.9997120138237345}",25,0,-119.64775009056133,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.9996875162757026}",30,0,-136.14782896195032,"{0: 18, 1: 3, 2: 5, 3: 3, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.9996620190402377}",25,0,-88.34412200374962,"{0: 13, 1: 6, 2: 5, 3: 1, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.9996355221428369}",20,0,-36.73342415992729,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.9996080256099974}",25,0,-263.24446463535844,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 5}",0
29,False,"{'a': 0.5, 'e': 0.9995795294692156}",20,0,-100.48378356492677,"{0: 11, 1: 0, 2: 7, 3: 2, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.9995500337489875}",25,0,-107.58294930126657,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.999519538478809}",20,0,-130.8952864251471,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.9994880436891754}",20,0,-107.18686402018835,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.9994555494115813}",20,4,-38.9779603452265,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.9994220556785212}",25,0,-48.1625802171801,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.9993875625234886}",25,0,-138.56711639888422,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.9993520699809768}",30,0,-266.06757008431134,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 5}",0
37,False,"{'a': 0.5, 'e': 0.9993155780864782}",25,0,-178.06401982935273,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.9992780868764849}",20,0,-38.6187484903745,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.999239596388488}",20,0,-139.25948579661,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.9992001066609779}",35,0,-151.52855632746724,"{0: 22, 1: 3, 2: 8, 3: 0, 4: 2}",0
41,False,"{'a': 0.5, 'e': 0.9991596177334445}",20,0,-211.67754418991098,"{0: 6, 1: 4, 2: 6, 3: 1, 4: 3}",0
42,False,"{'a': 0.5, 'e': 0.9991181296463766}",20,0,-112.09484198978446,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.9990756424412622}",30,0,-133.3471518521541,"{0: 16, 1: 4, 2: 9, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.9990321561605888}",20,0,-92.29888014832684,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.9989876708478425}",25,0,-124.8447450175806,"{0: 12, 1: 5, 2: 7, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.9989421865475084}",30,0,-124.61036123363638,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.9988957033050712}",20,0,-123.02535335723705,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.9988482211670138}",20,0,-206.9799980629445,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 4}",0
49,False,"{'a': 0.5, 'e': 0.9987997401808185}",20,0,-184.67407980341355,"{0: 11, 1: 0, 2: 4, 3: 2, 4: 3}",0
50,False,"{'a': 0.5, 'e': 0.9987502603949663}",30,0,-87.31648254009242,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.9986997818589368}",30,0,-182.39748112094884,"{0: 15, 1: 2, 2: 11, 3: 0, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.9986483046232089}",25,0,-110.43341896531687,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.9985958287392593}",20,0,-161.34172284776452,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
54,False,"{'a': 0.5, 'e': 0.9985423542595644}",30,0,-152.7670446558172,"{0: 13, 1: 10, 2: 4, 3: 2, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.9984878812375985}",25,0,-107.5232724634408,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.9984324097278344}",25,0,-78.9409160208011,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.9983759397857438}",20,0,-151.45251384879575,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
58,False,"{'a': 0.5, 'e': 0.9983184714677966}",20,0,-41.52766732607056,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.9982600048314613}",20,0,-103.71517164933604,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.9982005399352042}",25,0,-220.735247726474,"{0: 11, 1: 3, 2: 6, 3: 2, 4: 3}",0
61,False,"{'a': 0.5, 'e': 0.9981400768384904}",20,0,-30.340865018059446,"{0: 16, 1: 2, 2: 0, 3: 2, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.9980786156017829}",30,0,-110.38427978019699,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.9980161562865429}",20,0,-69.39348990414526,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
