trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999995000000417}",20,0,-170.7469196121012,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9999980000006666}",20,0,-38.28821652808334,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.999995500003375}",35,0,-160.01689890097444,"{0: 25, 1: 1, 2: 5, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9999920000106667}",30,0,-223.7439997487862,"{0: 15, 1: 4, 2: 6, 3: 2, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9999875000260416}",25,0,-107.12764565062105,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.999982000054}",20,6,-50.046950466297105,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.9999755001000415}",20,0,-97.3449199189022,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9999680001706663}",20,0,-51.959115602160516,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9999595002733742}",25,0,-195.48094432976941,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.9999500004166653}",20,0,-51.171374281851286,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9999395006100392}",30,0,-230.64478418693884,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 5}",0
12,False,"{'a': 0.5, 'e': 0.9999280008639958}",25,0,-156.0746197586315,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9999155011900349}",30,0,-204.7458166486938,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
