trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.9950124791926823}",20,0,-105.0659860279555,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.05, 'e': 0.9900498337491681}",25,0,-53.751807194216475,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.05, 'e': 0.9851119396030626}",20,0,-190.6248826129585,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
4,False,"{'a': 0.05, 'e': 0.9801986733067553}",30,0,-104.12375095541813,"{0: 20, 1: 1, 2: 8, 3: 0, 4: 1}",0
5,False,"{'a': 0.05, 'e': 0.9753099120283326}",20,0,-120.72900680461146,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.05, 'e': 0.9704455335485082}",30,0,-90.30284199255432,"{0: 17, 1: 8, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.05, 'e': 0.9656054162575665}",20,0,-58.01313712322113,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.05, 'e': 0.9607894391523232}",20,5,9.951779412371591,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.05, 'e': 0.9559974818331}",20,0,-49.432980968375446,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.05, 'e': 0.951229424500714}",30,0,-228.7860581348214,"{0: 16, 1: 1, 2: 8, 3: 2, 4: 3}",0
11,False,"{'a': 0.05, 'e': 0.9464851479534838}",20,0,-77.29276028719812,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.05, 'e': 0.9417645335842487}",25,0,-59.36367441992273,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
13,False,"{'a': 0.05, 'e': 0.9370674633774034}",25,0,-173.68472756794563,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
14,False,"{'a': 0.05, 'e': 0.9323938199059483}",20,0,-120.28284908179138,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
15,False,"{'a': 0.05, 'e': 0.9277434863285529}",20,0,-154.2646601358208,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
16,False,"{'a': 0.05, 'e': 0.9231163463866358}",30,0,-146.49735745754438,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 3}",0
17,False,"{'a': 0.05, 'e': 0.9185122844014574}",25,0,-122.06661093780387,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.05, 'e': 0.9139311852712282}",20,0,-52.0125681964053,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
19,False,"{'a': 0.05, 'e': 0.9093729344682314}",20,0,-106.47437751600812,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.05, 'e': 0.9048374180359595}",25,0,-19.814980234045727,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
21,False,"{'a': 0.05, 'e': 0.9003245225862656}",30,0,-116.28718088211319,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 1}",0
22,False,"{'a': 0.05, 'e': 0.8958341352965282}",20,0,-90.641570392919,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
23,False,"{'a': 0.05, 'e': 0.8913661439068313}",20,0,-116.81997428263621,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
24,False,"{'a': 0.05, 'e': 0.8869204367171575}",20,0,-179.4698938508901,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
25,False,"{'a': 0.05, 'e': 0.8824969025845955}",25,0,-61.43025915972471,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
26,False,"{'a': 0.05, 'e': 0.8780954309205613}",20,0,-88.15634400812658,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
27,False,"{'a': 0.05, 'e': 0.8737159116880344}",25,0,-165.49201573838445,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
28,False,"{'a': 0.05, 'e': 0.8693582353988059}",20,0,-47.78375642538243,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
29,False,"{'a': 0.05, 'e': 0.8650222931107413}",25,0,-145.87338974251105,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
30,False,"{'a': 0.05, 'e': 0.8607079764250578}",25,0,-69.79661776313229,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
31,False,"{'a': 0.05, 'e': 0.8564151774836135}",30,0,-109.25153772429836,"{0: 21, 1: 1, 2: 5, 3: 2, 4: 1}",0
32,False,"{'a': 0.05, 'e': 0.8521437889662113}",20,0,-78.88213180284853,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
33,False,"{'a': 0.05, 'e': 0.8478937040879159}",35,0,-160.20490036136755,"{0: 22, 1: 2, 2: 7, 3: 3, 4: 1}",0
34,False,"{'a': 0.05, 'e': 0.8436648165963837}",20,0,-117.90894270671794,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
35,False,"{'a': 0.05, 'e': 0.8394570207692074}",20,0,-61.234171745844684,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
36,False,"{'a': 0.05, 'e': 0.835270211411272}",25,0,-71.12835449968394,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
37,False,"{'a': 0.05, 'e': 0.8311042838521256}",25,0,-58.09229980030915,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
38,False,"{'a': 0.05, 'e': 0.8269591339433623}",25,0,-25.604289823219652,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
39,False,"{'a': 0.05, 'e': 0.8228346580560184}",20,0,-84.64490534856797,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
40,False,"{'a': 0.05, 'e': 0.8187307530779818}",20,0,-85.4140973420426,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
41,False,"{'a': 0.05, 'e': 0.8146473164114145}",25,0,-165.24856127219735,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
42,False,"{'a': 0.05, 'e': 0.8105842459701871}",20,0,-161.05438827355013,"{0: 12, 1: 2, 2: 1, 3: 2, 4: 3}",0
43,False,"{'a': 0.05, 'e': 0.8065414401773269}",20,13,-9.690151310931192,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
44,False,"{'a': 0.05, 'e': 0.8025187979624785}",25,0,-60.31736908237168,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
45,False,"{'a': 0.05, 'e': 0.7985162187593771}",20,10,-6.659687855184373,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
