trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999000499833375}",20,0,-82.72715828439415,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9980019986673331}",20,0,-125.88381947283446,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.997004495503373}",20,0,-45.93309928698154,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9960079893439915}",30,0,-107.96742318670941,"{0: 20, 1: 0, 2: 9, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9950124791926823}",20,6,-59.59113809741897,"{0: 7, 1: 2, 2: 4, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.9940179640539353}",25,16,-78.75186327073146,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.9930244429332351}",20,0,-85.48801471007062,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9920319148370607}",25,0,-102.82326795073787,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9910403787728836}",20,0,-62.854830303246636,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9900498337491681}",20,0,-174.2014165444418,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.9890602787753687}",25,0,-139.78825684576228,"{0: 15, 1: 1, 2: 5, 3: 3, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9880717128619305}",25,0,-98.8820793061578,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9870841350202876}",20,0,-128.89653265360855,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9860975442628619}",20,0,-137.57572280022436,"{0: 8, 1: 4, 2: 5, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9851119396030626}",25,2,-102.1374148424746,"{0: 14, 1: 4, 2: 2, 3: 2, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.9841273200552851}",25,0,-166.60151147772723,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.9831436846349096}",30,0,-72.13625923821517,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9821610323583008}",25,0,-207.82337482349953,"{0: 8, 1: 7, 2: 6, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.981179362242806}",25,0,-190.81237668024653,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-222.46681860356003,"{0: 8, 1: 5, 2: 1, 3: 2, 4: 4}",0
21,False,"{'a': 0.5, 'e': 0.9792189645694596}",35,0,-178.33290750515872,"{0: 25, 1: 1, 2: 4, 3: 2, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.97824023505121}",20,0,-170.629280063436,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
23,False,"{'a': 0.5, 'e': 0.9772624837732771}",30,0,-183.25318386162232,"{0: 15, 1: 2, 2: 9, 3: 3, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9762857097579093}",25,0,-201.47089507951623,"{0: 12, 1: 1, 2: 9, 3: 0, 4: 3}",0
25,False,"{'a': 0.5, 'e': 0.9753099120283326}",20,12,-43.491406722577075,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.9743350896087494}",30,0,-166.9719260877024,"{0: 16, 1: 4, 2: 8, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.9733612415243368}",25,0,-199.91710868532496,"{0: 9, 1: 5, 2: 7, 3: 2, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.9723883668012469}",25,0,-65.56318268345012,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.9714164644666048}",20,0,-95.92744404788318,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-92.45075593935425,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.9694755730760259}",25,0,-186.81672985931556,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
32,False,"{'a': 0.5, 'e': 0.9685065820791976}",20,0,-165.56752918062318,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
33,False,"{'a': 0.5, 'e': 0.967538559589032}",20,0,-154.7612900426754,"{0: 10, 1: 5, 2: 2, 3: 0, 4: 3}",0
34,False,"{'a': 0.5, 'e': 0.9665715046375066}",30,9,-115.80699421796827,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 1}",1
35,False,"{'a': 0.5, 'e': 0.9656054162575665}",20,0,-67.08142555469298,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.9646402934831231}",25,0,-155.97252250266237,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.9636761353490535}",35,21,18.15849966428849,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.9627129408911995}",25,0,-119.50816906493311,"{0: 11, 1: 6, 2: 5, 3: 3, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.9617507091463667}",20,0,-91.04292604528914,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-72.96475718869594,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.9598291299477989}",20,0,-95.22363202312182,"{0: 14, 1: 1, 2: 1, 3: 3, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.9588697805724845}",25,2,-58.24365626022864,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 2}",1
43,False,"{'a': 0.5, 'e': 0.9579113900670306}",25,0,-89.97139340605716,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.9569539574730467}",25,0,-143.17030323513376,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.9559974818331}",20,0,-34.4500641901233,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.9550419621907147}",20,0,-173.62669222291296,"{0: 12, 1: 0, 2: 3, 3: 2, 4: 3}",0
47,False,"{'a': 0.5, 'e': 0.9540873975903711}",30,0,-134.3969719194299,"{0: 16, 1: 3, 2: 8, 3: 3, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.9531337870775047}",25,1,-86.26763095732765,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 1}",1
49,False,"{'a': 0.5, 'e': 0.9521811296985049}",30,0,-223.500775406163,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 5}",0
50,False,"{'a': 0.5, 'e': 0.951229424500714}",25,0,-67.38789326713314,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.950278670532427}",20,0,-86.18801709216203,"{0: 12, 1: 1, 2: 4, 3: 3, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.9493288668428895}",20,2,-113.70983922704484,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 2}",1
53,False,"{'a': 0.5, 'e': 0.9483800124822982}",20,0,-34.01116430655797,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.9474321065017983}",20,0,-138.46323779349513,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.9464851479534838}",20,0,-19.853315733588886,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.9455391358903963}",30,0,-98.41690429043017,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.9445940693665233}",20,0,-90.94740182512982,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.9436499474367985}",25,0,-64.18886857948024,"{0: 16, 1: 5, 2: 2, 3: 2, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.9427067691570997}",30,0,-103.1443815170635,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
60,False,"{'a': 0.5, 'e': 0.9417645335842487}",20,0,-36.24472129345449,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.9408232397760097}",30,0,-75.47454864599621,"{0: 20, 1: 2, 2: 7, 3: 1, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.9398828867910889}",20,0,-92.73069448800204,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.9389434736891332}",30,0,-161.4292585565782,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.9380049995307295}",20,0,-15.128531473618967,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.9370674633774034}",25,0,-133.55256103261826,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
