trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,-100,-519.2786651644648,"{0: 80, 1: 10, 2: 19, 3: 2, 4: 9}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,-28,-303.46531719797827,"{0: 33, 1: 6, 2: 6, 3: 3, 4: 5}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,-69,-570.4898241420402,"{0: 56, 1: 9, 2: 17, 3: 12, 4: 5}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,-87,-457.58855533643964,"{0: 68, 1: 14, 2: 23, 3: 2, 4: 5}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,-100,-640.5077738455288,"{0: 72, 1: 14, 2: 21, 3: 3, 4: 10}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,-38,-347.8922527816676,"{0: 35, 1: 6, 2: 15, 3: 3, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,-100,-647.6430940584869,"{0: 77, 1: 9, 2: 26, 3: 3, 4: 10}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,-49,-412.92952489821994,"{0: 45, 1: 8, 2: 17, 3: 4, 4: 5}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,-81,-456.39122130862404,"{0: 60, 1: 15, 2: 23, 3: 4, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,4,-38.12238793141787,"{0: 18, 1: 4, 2: 4, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,-87,-583.3579236616098,"{0: 62, 1: 8, 2: 24, 3: 6, 4: 7}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,-99,-575.908303701183,"{0: 73, 1: 10, 2: 24, 3: 4, 4: 8}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,-48,-251.94621530434185,"{0: 45, 1: 6, 2: 19, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,-100,-360.24826122322577,"{0: 88, 1: 14, 2: 16, 3: 1, 4: 6}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,-100,-523.9442682918949,"{0: 80, 1: 9, 2: 25, 3: 5, 4: 6}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,-71,-466.87634469872,"{0: 61, 1: 9, 2: 18, 3: 0, 4: 8}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,-29,-281.527694887788,"{0: 28, 1: 2, 2: 13, 3: 3, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,18,-6.1049081585562295,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,-90,-645.5514971498585,"{0: 68, 1: 16, 2: 16, 3: 5, 4: 10}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,-77,-541.1306844645503,"{0: 56, 1: 7, 2: 23, 3: 4, 4: 7}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,-67,-427.7050622870405,"{0: 47, 1: 10, 2: 24, 3: 2, 4: 4}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,-100,-567.0506941359893,"{0: 77, 1: 9, 2: 21, 3: 5, 4: 8}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,-100,-756.3393371638119,"{0: 76, 1: 9, 2: 22, 3: 6, 4: 12}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,-68,-561.9216289859165,"{0: 48, 1: 8, 2: 20, 3: 4, 4: 8}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,-100,-978.3627405727696,"{0: 65, 1: 13, 2: 30, 3: 9, 4: 13}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,-18,-170.41720210873632,"{0: 25, 1: 1, 2: 9, 3: 0, 4: 3}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,-88,-433.6252658700755,"{0: 68, 1: 11, 2: 18, 3: 7, 4: 4}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,-24,-270.8721835361882,"{0: 29, 1: 3, 2: 5, 3: 1, 4: 6}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,-26,-390.36873664614245,"{0: 22, 1: 6, 2: 9, 3: 3, 4: 6}",0
10,True,"{'a': 0.0, 'e': 0.0}",30,-72,-435.8833825995652,"{0: 64, 1: 8, 2: 20, 3: 5, 4: 5}",0
